coffee_id,name,roaster,farmer,process,elevation,country_name,country_region,notes,varietals
4439,Evin Moreno,Ritual,Evin Joel Moreno Reyes,Washed,9999,Honduras,Americas,"lingering,cherry,berry",Pacas
4441,Ethiopia Chelbesa Natural,Huckleberry,Worka Chelbessa,Natural,2025,Ethiopia,Africa,"fruit punch,berry,fruity",Ethiopia Landraces
4442,Guatemala Santa Barbara,ReAnimator Coffee Roasters,,Washed,9999,Guatemala,Americas,"chocolate,cherry",
4443,Mexico Familia Garcia,ReAnimator Coffee Roasters,Garcia Lopez,Washed,9999,Mexico,Americas,"complex,apple,green apple,candy",
4444,Costa Rica Solis y Cordero,Metric,,Pulp Natural,9999,Costa Rica,Americas,"soft,grapefruit,turbinado sugar,sugar,sweet,apricot,red grape,silky,grape,brown sugar",
4445,Ethiopia Kochere,Alma Coffee,Cheffe Hilina Trading PLC,Washed,2000,Ethiopia,Africa,"orange,clean,green tea,floral,fruity,sweet,peach,tea,super,delicate,black tea,juicy,soft",Heirlooms
4446,Honduras Finca El Roble,Anodyne Coffee Roasters,Adrian Castro,Washed,1675,Honduras,Americas,orange,"Caturra,Catuai"
4447,Guatemala La Hermosa,Anodyne Coffee Roasters,Max Perez,Washed,2000,Guatemala,Americas,"chocolate,soil,candy,orange,creamy","Pache,Caturra,Bourbon,Typica"
4448,Nyeri Mahiga,Greater Goods,Othaya Farmers Cooperative Society,Washed,1795,Kenya,Africa,"cocoa,stone fruit,lingering,tamarind,fermented,buttery","Batian,SL34,SL28,Ruiru 11"
4449,Ethiopia - Nano Genji,Methodical,,Washed,2050,Ethiopia,Africa,"jasmine,tea",Ethiopia Landraces
4450,Burundi - Ngogomo,Methodical,,Washed,1600,Burundi,Africa,"bright,lime,tea,black tea",Red Bourbon
4451,"Layo Teraga - Guji, Ethiopia",Mother Tongue Coffee,Layo Teraga,Washed,2125,Ethiopia,Africa,"black tea,tea,floral,honeysuckle",Heirlooms
4454,Mexico El Tigre,City of Saints,,Washed,1650,Mexico,Americas,"date,nectarine,super,fruity,juicy,tangerine","Marsellesa,Caturra,Typica,Bourbon"
4455,Spotlight,Sight Glass,Multiple,Washed,1500,Blend,Blend,"toffee,chocolate,smooth,dark chocolate,bitter,roasted,vanilla","Peaberry,Castillo"
4459,Ethiopia Aricha,Maquina,Multiple,Washed,1900,Ethiopia,Africa,"tea,floral,lemon,sweet",Heirlooms
